Date,AAA_Gilt_Spread_5Y_bps,Source_File,PDF_Page,Observation_Month,Extraction_Type,Month
2010-01-03,133.0,MRE Mar 2013.pdf,22,Mar-10,,2010-03
2010-01-04,85.0,CCIL MRE old-format verified,Verified CCIL MRE,Apr-10,Verified old-format recovery,2010-04
2010-01-05,107.0,CCIL MRE old-format verified,Verified CCIL MRE,May-10,Verified old-format recovery,2010-05
2010-01-06,95.0,CCIL MRE old-format verified,Verified CCIL MRE,Jun-10,Verified old-format recovery,2010-06
2010-01-07,106.0,CCIL MRE old-format verified,Verified CCIL MRE,Jul-10,Verified old-format recovery,2010-07
2010-01-08,102.0,CCIL MRE old-format verified,Verified CCIL MRE,Aug-10,Verified old-format recovery,2010-08
2010-01-09,91.0,CCIL MRE old-format verified,Verified CCIL MRE,Sep-10,Verified old-format recovery,2010-09
2010-01-10,79.0,CCIL MRE old-format verified,Verified CCIL MRE,Oct-10,Verified old-format recovery,2010-10
2010-01-11,83.0,CCIL MRE old-format verified,Verified CCIL MRE,Nov-10,Verified old-format recovery,2010-11
2010-01-12,109.0,CCIL MRE old-format verified,Verified CCIL MRE,Dec-10,Verified old-format recovery,2010-12
2011-01-01,122.0,CCIL MRE old-format verified,Verified CCIL MRE,Jan-11,Verified old-format recovery,2011-01
2011-01-02,125.0,CCIL MRE old-format verified,Verified CCIL MRE,Feb-11,Verified old-format recovery,2011-02
2011-01-03,137.0,CCIL MRE old-format verified,Verified CCIL MRE,Mar-11,Verified old-format recovery,2011-03
2011-01-04,109.0,CCIL MRE old-format verified,Verified CCIL MRE,Apr-11,Verified old-format recovery,2011-04
2011-01-05,132.0,CCIL MRE old-format verified,Verified CCIL MRE,May-11,Verified old-format recovery,2011-05
2011-01-06,127.0,CCIL MRE old-format verified,Verified CCIL MRE,Jun-11,Verified old-format recovery,2011-06
2011-01-07,102.0,CCIL MRE old-format verified,Verified CCIL MRE,Jul-11,Verified old-format recovery,2011-07
2011-01-08,108.0,CCIL MRE old-format verified,Verified CCIL MRE,Aug-11,Verified old-format recovery,2011-08
2011-01-09,116.0,CCIL MRE old-format verified,Verified CCIL MRE,Sep-11,Verified old-format recovery,2011-09
2011-01-10,88.0,CCIL MRE old-format verified,Verified CCIL MRE,Oct-11,Verified old-format recovery,2011-10
2011-01-11,94.0,CCIL MRE old-format verified,Verified CCIL MRE,Nov-11,Verified old-format recovery,2011-11
2011-01-12,100.0,MRE Jan 2013.pdf,22,Dec-11,,2011-12
2012-01-01,114.0,MRE Feb 2013.pdf,22,Jan-12,,2012-01
2012-01-02,102.0,MRE Mar 2013.pdf,22,Feb-12,,2012-02
2012-01-03,94.0,MRE Mar 2015.pdf,22,Mar-12,,2012-03
2012-01-04,94.0,MRE May 2013.pdf,22,Apr-12,,2012-04
2012-01-05,112.0,MRE Jun 2013.pdf,22,May-12,,2012-05
2012-01-06,119.0,MRE Jul 2013.pdf,22,Jun-12,,2012-06
2012-01-07,112.0,MRE Aug 2013.pdf,22,Jul-12,,2012-07
2012-01-08,102.0,MRE Sep 2013.pdf,22,Aug-12,,2012-08
2012-01-09,75.0,MRE Oct 2013.pdf,22,Sep-12,,2012-09
2012-01-10,79.0,MRE Nov 2013.pdf,22,Oct-12,,2012-10
2012-01-11,83.0,MRE Dec 2013.pdf,22,Nov-12,,2012-11
2012-01-12,84.0,MRE Jan 2014.pdf,22,Dec-12,,2012-12
2013-01-01,88.0,MRE Feb 2014.pdf,22,Jan-13,,2013-01
2013-01-02,107.0,MRE Mar 2014.pdf,22,Feb-13,,2013-02
2013-01-03,95.0,MRE Mar 2016.pdf,22,Mar-13,,2013-03
2013-01-04,91.0,MRE May 2014.pdf,22,Apr-13,,2013-04
2013-01-05,79.0,MRE Jun 2014.pdf,22,May-13,,2013-05
2013-01-06,94.0,MRE Jul 2014.pdf,22,Jun-13,,2013-06
2013-01-07,97.0,MRE Aug 2014.pdf,22,Jul-13,,2013-07
2013-01-08,81.0,MRE Sep 2014.pdf,22,Aug-13,,2013-08
2013-01-09,94.0,MRE Oct 2014.pdf,22,Sep-13,,2013-09
2013-01-10,93.0,MRE Nov 2014.pdf,22,Oct-13,,2013-10
2013-01-11,96.0,MRE Dec 2014.pdf,22,Nov-13,,2013-11
2013-01-12,77.0,MRE Jan 2015.pdf,22,Dec-13,,2013-12
2014-01-01,76.0,MRE Feb 2015.pdf,22,Jan-14,,2014-01
2014-01-02,82.0,MRE Mar 2015.pdf,22,Feb-14,,2014-02
2014-01-03,72.0,MRE Mar 2017.pdf,22,Mar-14,,2014-03
2014-01-04,67.0,MRE May 2015.pdf,22,Apr-14,,2014-04
2014-01-05,69.0,MRE Jun 2015.pdf,22,May-14,,2014-05
2014-01-06,53.0,MRE Jul 2015.pdf,22,Jun-14,,2014-06
2014-01-07,82.0,MRE Aug 2015.pdf,22,Jul-14,,2014-07
2014-01-08,72.0,MRE Sep 2015.pdf,22,Aug-14,,2014-08
2014-01-09,60.0,MRE Oct 2015.pdf,22,Sep-14,,2014-09
2014-01-10,50.0,MRE Nov 2015.pdf,22,Oct-14,,2014-10
2014-01-11,41.0,MRE Dec 2015.pdf,22,Nov-14,,2014-11
2014-01-12,61.0,MRE Jan 2016.pdf,22,Dec-14,,2014-12
2015-01-01,56.0,MRE Feb 2016.pdf,22,Jan-15,,2015-01
2015-01-02,51.0,MRE Mar 2016.pdf,22,Feb-15,,2015-02
2015-01-03,54.0,MRE Mar 2018.pdf,22,Mar-15,,2015-03
2015-01-04,55.0,MRE May 2016.pdf,22,Apr-15,,2015-04
2015-01-05,56.0,MRE June 2016.pdf,22,May-15,,2015-05
2015-01-06,57.0,MRE Jul 2016.pdf,22,Jun-15,,2015-06
2015-01-07,48.0,MRE Aug 2016.pdf,22,Jul-15,,2015-07
2015-01-08,42.0,MRE Sep 2016.pdf,22,Aug-15,,2015-08
2015-01-09,60.0,MRE Oct 2016.pdf,22,Sep-15,,2015-09
2015-01-10,43.0,MRE Nov 2016.pdf,22,Oct-15,,2015-10
2015-01-11,42.0,MRE Dec 2016.pdf,22,Nov-15,,2015-11
2015-01-12,57.0,MRE Jan 2017.pdf,22,Dec-15,,2015-12
2016-01-01,58.0,MRE Feb 2017.pdf,22,Jan-16,,2016-01
2016-01-02,81.0,MRE Mar 2017.pdf,22,Feb-16,,2016-02
2016-01-03,60.0,MRE Mar 2019.pdf,22,Mar-16,,2016-03
