Date,Price,Open,High,Low,Change %
2007-09-17,7.892,7.892,7.892,7.892,0.08%
2007-09-18,7.886,7.886,7.886,7.886,-0.08%
2007-09-19,7.862,7.862,7.862,7.862,-0.30%
2007-09-20,7.844,7.844,7.844,7.844,-0.23%
2007-09-21,7.859,7.859,7.859,7.859,0.19%
2007-09-24,7.887,7.887,7.887,7.887,0.36%
2007-09-25,7.927,7.927,7.927,7.927,0.51%
2007-09-26,7.923,7.923,7.923,7.923,-0.05%
2007-09-27,7.928,7.928,7.928,7.928,0.06%
2007-09-28,7.925,7.925,7.925,7.925,-0.04%
2007-10-01,7.919,7.919,7.919,7.919,-0.08%
2007-10-03,7.898,7.898,7.898,7.898,-0.27%
2007-10-04,7.893,7.893,7.893,7.893,-0.06%
2007-10-05,7.908,7.908,7.908,7.908,0.19%
2007-10-06,7.913,7.913,7.913,7.913,0.06%
2007-10-08,7.941,7.941,7.941,7.941,0.35%
2007-10-09,7.926,7.926,7.926,7.926,-0.19%
2007-10-10,7.901,7.901,7.901,7.901,-0.32%
2007-10-11,7.893,7.893,7.893,7.893,-0.10%
2007-10-12,7.904,7.904,7.904,7.904,0.14%
2007-10-13,7.902,7.902,7.902,7.902,-0.03%
2007-10-15,7.908,7.908,7.908,7.908,0.08%
2007-10-16,7.912,7.912,7.912,7.912,0.05%
2007-10-17,7.927,7.927,7.927,7.927,0.19%
2007-10-18,7.914,7.914,7.914,7.914,-0.16%
2007-10-19,7.898,7.898,7.898,7.898,-0.20%
2007-10-20,7.898,7.898,7.898,7.898,0.00%
2007-10-22,7.863,7.863,7.863,7.863,-0.44%
2007-10-23,7.823,7.823,7.823,7.823,-0.51%
2007-10-24,7.831,7.831,7.831,7.831,0.10%
2007-10-25,7.819,7.819,7.819,7.819,-0.15%
2007-10-26,7.822,7.822,7.822,7.822,0.04%
2007-10-27,7.823,7.823,7.823,7.823,0.01%
2007-10-29,7.816,7.816,7.816,7.816,-0.09%
2007-10-30,7.86,7.86,7.86,7.86,0.56%
2007-10-31,7.839,7.839,7.839,7.839,-0.27%
2007-11-01,7.859,7.859,7.859,7.859,0.26%
2007-11-02,7.859,7.859,7.859,7.859,0.00%
2007-11-03,7.857,7.857,7.857,7.857,-0.03%
2007-11-05,7.868,7.868,7.868,7.868,0.14%
2007-11-06,7.896,7.896,7.896,7.896,0.36%
2007-11-07,7.896,7.896,7.896,7.896,0.00%
2007-11-08,7.914,7.914,7.914,7.914,0.23%
2007-11-10,7.935,7.935,7.935,7.935,0.27%
2007-11-12,7.923,7.923,7.923,7.923,-0.15%
2007-11-13,7.887,7.887,7.887,7.887,-0.45%
2007-11-14,7.875,7.875,7.875,7.875,-0.15%
2007-11-15,7.883,7.883,7.883,7.883,0.10%
2007-11-16,7.881,7.881,7.881,7.881,-0.03%
2007-11-17,7.881,7.881,7.881,7.881,0.00%
2007-11-19,7.875,7.875,7.875,7.875,-0.08%
2007-11-20,7.875,7.875,7.875,7.875,0.00%
2007-11-21,7.886,7.886,7.886,7.886,0.14%
2007-11-22,7.884,7.884,7.884,7.884,-0.03%
2007-11-23,7.89,7.89,7.89,7.89,0.08%
2007-11-26,7.89,7.89,7.89,7.89,0.00%
2007-11-27,7.896,7.896,7.896,7.896,0.08%
2007-11-28,7.922,7.922,7.922,7.922,0.33%
2007-11-29,7.923,7.923,7.923,7.923,0.01%
2007-11-30,7.905,7.905,7.905,7.905,-0.23%
2007-12-01,7.908,7.908,7.908,7.908,0.04%
2007-12-03,7.881,7.881,7.881,7.881,-0.34%
2007-12-04,7.883,7.883,7.883,7.883,0.03%
2007-12-05,7.869,7.869,7.869,7.869,-0.18%
2007-12-06,7.878,7.878,7.878,7.878,0.11%
2007-12-07,7.874,7.874,7.874,7.874,-0.05%
2007-12-08,7.869,7.869,7.869,7.869,-0.06%
2007-12-10,7.877,7.877,7.877,7.877,0.10%
2007-12-11,7.883,7.883,7.883,7.883,0.08%
2007-12-12,7.878,7.878,7.878,7.878,-0.06%
2007-12-13,7.885,7.885,7.885,7.885,0.09%
2007-12-14,7.9,7.9,7.9,7.9,0.19%
2007-12-15,7.897,7.897,7.897,7.897,-0.04%
2007-12-17,7.898,7.898,7.898,7.898,0.01%
2007-12-18,7.892,7.892,7.892,7.892,-0.08%
2007-12-19,7.882,7.882,7.882,7.882,-0.13%
2007-12-20,7.871,7.871,7.871,7.871,-0.14%
2007-12-22,7.868,7.868,7.868,7.868,-0.04%
2007-12-24,7.864,7.864,7.864,7.864,-0.05%
2007-12-26,7.87,7.87,7.87,7.87,0.08%
2007-12-27,7.856,7.856,7.856,7.856,-0.18%
2007-12-28,7.811,7.811,7.811,7.811,-0.57%
2007-12-29,7.81,7.81,7.81,7.81,-0.01%
2007-12-31,7.791,7.791,7.791,7.791,-0.24%
2008-01-01,7.746,7.746,7.746,7.746,-0.58%
2008-01-02,7.746,7.746,7.746,7.746,0.00%
2008-01-03,7.755,7.755,7.755,7.755,0.12%
2008-01-04,7.706,7.706,7.706,7.706,-0.63%
2008-01-05,7.707,7.707,7.707,7.707,0.01%
2008-01-07,7.66,7.66,7.66,7.66,-0.61%
2008-01-08,7.673,7.673,7.673,7.673,0.17%
2008-01-09,7.654,7.654,7.654,7.654,-0.25%
2008-01-10,7.586,7.586,7.586,7.586,-0.89%
2008-01-11,7.563,7.563,7.563,7.563,-0.30%
2008-01-12,7.563,7.563,7.563,7.563,0.00%
2008-01-14,7.544,7.544,7.544,7.544,-0.25%
2008-01-15,7.556,7.556,7.556,7.556,0.16%
2008-01-16,7.563,7.563,7.563,7.563,0.09%
2008-01-17,7.554,7.554,7.554,7.554,-0.12%
2008-01-18,7.551,7.551,7.551,7.551,-0.04%
2008-01-21,7.54,7.54,7.54,7.54,-0.15%
2008-01-22,7.467,7.467,7.467,7.467,-0.97%
2008-01-23,7.385,7.385,7.385,7.385,-1.10%
2008-01-24,7.379,7.379,7.379,7.379,-0.08%
2008-01-25,7.431,7.431,7.431,7.431,0.70%
2008-01-28,7.438,7.438,7.438,7.438,0.09%
2008-01-29,7.542,7.542,7.542,7.542,1.40%
2008-01-30,7.559,7.559,7.559,7.559,0.23%
2008-01-31,7.529,7.529,7.529,7.529,-0.40%
2008-02-01,7.487,7.487,7.487,7.487,-0.56%
2008-02-02,7.496,7.496,7.496,7.496,0.12%
2008-02-04,7.515,7.515,7.515,7.515,0.25%
2008-02-05,7.518,7.518,7.518,7.518,0.04%
2008-02-06,7.488,7.488,7.488,7.488,-0.40%
2008-02-07,7.473,7.473,7.473,7.473,-0.20%
2008-02-08,7.47,7.47,7.47,7.47,-0.04%
2008-02-09,7.464,7.464,7.464,7.464,-0.08%
2008-02-11,7.439,7.439,7.439,7.439,-0.33%
2008-02-12,7.453,7.453,7.453,7.453,0.19%
2008-02-13,7.455,7.455,7.455,7.455,0.03%
2008-02-14,7.464,7.464,7.464,7.464,0.12%
2008-02-15,7.503,7.503,7.503,7.503,0.52%
2008-02-16,7.512,7.512,7.512,7.512,0.12%
2008-02-18,7.543,7.543,7.543,7.543,0.41%
2008-02-19,7.562,7.562,7.562,7.562,0.25%
2008-02-20,7.645,7.645,7.645,7.645,1.10%
2008-02-21,7.583,7.583,7.583,7.583,-0.81%
2008-02-22,7.679,7.679,7.679,7.679,1.27%
2008-02-23,7.692,7.692,7.692,7.692,0.17%
2008-02-25,7.64,7.64,7.64,7.64,-0.68%
2008-02-26,7.631,7.631,7.631,7.631,-0.12%
2008-02-27,7.629,7.629,7.629,7.629,-0.03%
2008-02-28,7.602,7.602,7.602,7.602,-0.35%
2008-02-29,7.568,7.568,7.568,7.568,-0.45%
2008-03-03,7.524,7.524,7.524,7.524,-0.58%
2008-03-04,7.582,7.582,7.582,7.582,0.77%
2008-03-05,7.551,7.551,7.551,7.551,-0.41%
2008-03-07,7.59,7.59,7.59,7.59,0.52%
2008-03-08,7.585,7.585,7.585,7.585,-0.07%
2008-03-10,7.62,7.62,7.62,7.62,0.46%
2008-03-11,7.604,7.604,7.604,7.604,-0.21%
2008-03-12,7.559,7.559,7.559,7.559,-0.59%
2008-03-13,7.569,7.569,7.569,7.569,0.13%
2008-03-14,7.63,7.63,7.63,7.63,0.81%
2008-03-15,7.624,7.624,7.624,7.624,-0.08%
2008-03-17,7.633,7.633,7.633,7.633,0.12%
2008-03-18,7.593,7.593,7.593,7.593,-0.52%
2008-03-19,7.621,7.621,7.621,7.621,0.37%
2008-03-24,7.72,7.72,7.72,7.72,1.30%
2008-03-25,7.723,7.723,7.723,7.723,0.04%
2008-03-26,7.768,7.768,7.768,7.768,0.58%
2008-03-27,7.773,7.773,7.773,7.773,0.06%
2008-03-28,7.874,7.874,7.874,7.874,1.30%
2008-03-31,7.938,7.938,7.938,7.938,0.81%
2008-04-02,7.931,7.931,7.931,7.931,-0.09%
2008-04-03,7.887,7.887,7.887,7.887,-0.55%
2008-04-04,7.985,7.985,7.985,7.985,1.24%
2008-04-07,7.99,7.99,7.99,7.99,0.06%
2008-04-08,7.945,7.945,7.945,7.945,-0.56%
2008-04-09,7.925,7.925,7.925,7.925,-0.25%
2008-04-10,7.964,7.964,7.964,7.964,0.49%
2008-04-11,8.034,8.034,8.034,8.034,0.88%
2008-04-15,8.018,8.018,8.018,8.018,-0.20%
2008-04-16,8.08,8.08,8.08,8.08,0.77%
2008-04-17,8.118,8.118,8.118,8.118,0.47%
2008-04-21,8.178,8.178,8.178,8.178,0.74%
2008-04-22,8.165,8.165,8.165,8.165,-0.16%
2008-04-23,8.186,8.186,8.186,8.186,0.26%
2008-04-24,8.194,8.194,8.194,8.194,0.10%
2008-04-25,8.175,8.175,8.175,8.175,-0.23%
2008-04-28,8.141,8.141,8.141,8.141,-0.42%
2008-04-29,8.004,8.004,8.004,8.004,-1.68%
2008-04-30,7.956,7.956,7.956,7.956,-0.60%
2008-05-02,7.903,7.903,7.903,7.903,-0.67%
2008-05-05,7.876,7.876,7.876,7.876,-0.34%
