Date,SIP Contribution Crore
2016-01-04,3122.0
2016-01-05,3189.0
2016-01-06,3310.0
2016-01-07,3334.0
2016-01-08,3497.0
2016-01-09,3698.0
2016-01-10,3434.0
2016-01-11,3884.0
2016-01-12,3973.0
2017-01-01,4095.0
2017-01-02,4050.0
2017-01-03,4335.0
2017-01-04,4269.0
2017-01-05,4584.0
2017-01-06,4744.0
2017-01-07,4947.0
2017-01-08,5206.0
2017-01-09,5516.0
2017-01-10,5621.0
2017-01-11,5893.0
2017-01-12,6222.0
2018-01-01,6644.0
2018-01-02,6425.0
2018-01-03,7119.0
2018-01-04,6690.0
2018-01-05,7304.0
2018-01-06,7554.0
2018-01-07,7554.0
2018-01-08,7658.0
2018-01-09,7727.0
2018-01-10,7985.0
2018-01-11,7985.0
2018-01-12,8022.0
2019-01-01,8064.0
2019-01-02,8095.0
2019-01-03,8055.0
2019-01-04,8238.0
2019-01-05,8183.0
2019-01-06,8122.0
2019-01-07,8324.0
2019-01-08,8231.0
2019-01-09,8263.0
2019-01-10,8246.0
2019-01-11,8273.0
2019-01-12,8518.0
2020-01-01,8532.0
2020-01-02,8513.0
2020-01-03,8641.0
2020-01-04,8376.0
2020-01-05,8123.0
2020-01-06,7917.0
2020-01-07,7831.0
2020-01-08,7792.0
2020-01-09,7788.0
2020-01-10,7800.0
2020-01-11,7302.0
2020-01-12,8418.0
2021-01-01,8023.0
2021-01-02,7528.0
2021-01-03,9182.0
2021-01-04,8596.0
2021-01-05,8819.0
2021-01-06,9156.0
2021-01-07,9609.0
2021-01-08,9923.0
2021-01-09,10351.0
2021-01-10,10519.0
2021-01-11,11005.0
2021-01-12,11305.0
2022-01-01,11517.0
2022-01-02,11438.0
2022-01-03,12328.0
2022-01-04,11863.0
2022-01-05,12286.0
2022-01-06,12276.0
2022-01-07,12140.0
2022-01-08,12693.0
2022-01-09,12976.0
2022-01-10,13041.0
2022-01-11,13306.0
2022-01-12,13573.0
2023-01-01,13856.0
2023-01-02,13686.0
2023-01-03,14276.0
2023-01-04,13728.0
2023-01-05,14749.0
2023-01-06,14734.0
2023-01-07,15245.0
2023-01-08,15814.0
2023-01-09,16042.0
2023-01-10,16928.0
2023-01-11,17073.0
2023-01-12,17610.0
2024-01-01,18838.0
2024-01-02,19187.0
2024-01-03,19271.0
2024-01-04,20371.0
2024-01-05,20904.0
2024-01-06,21262.0
2024-01-07,23332.0
2024-01-08,23547.0
2024-01-09,24509.0
2024-01-10,25323.0
2024-01-11,25320.0
2024-01-12,26459.0
2025-01-01,26400.0
2025-01-02,25999.0
2025-01-03,25926.0
2025-01-04,26632.0
2025-01-05,26688.0
2025-01-06,27269.0
2025-01-07,28464.0
2025-01-08,28265.0
2025-01-09,29361.0
2025-01-10,29529.0
2025-01-11,29445.0
2025-01-12,31002.0
2026-01-01,31002.0
2026-01-02,29845.0
2026-01-03,32087.0
2026-01-04,31115.0
2026-01-05,30954.0
2026-01-06,31781.0
2026-01-07,31961.0
2026-01-08,32297.0
