Date,FII_Gross_Purchase,FII_Gross_Sales,FII_Net,DII_Gross_Purchase,DII_Gross_Sales,DII_Net
2007-09-03,2437.42,2019.35,418.07,769.64,786.16,-16.52
2007-09-04,1837.57,1489.37,348.2,827.58,759.6,67.98
2007-09-05,2633.84,2296.85,336.99,882.78,924.18,-41.4
2007-09-06,2275.51,1964.14,311.37,841.01,849.27,-8.26
2007-09-07,2173.45,1788.77,384.68,846.88,946.31,-99.43
2007-09-10,1399.48,1589.63,-190.15,750.45,740.63,9.82
2007-09-11,2214.55,1957.96,256.59,750.4,1195.15,-444.75
2007-09-12,2333.4,2015.64,317.76,1037.14,1128.46,-91.32
2007-10-01,4311.66,2589.92,1721.74,1251.99,2181.76,-929.77
2007-10-03,7746.78,5084.72,2662.06,1219.08,1440.81,-221.73
2007-10-04,4278.46,3821.18,457.28,923.34,1587.24,-663.9
2007-10-05,4557.73,3609.67,948.06,1739.66,1941.27,-201.61
2007-10-08,4281.74,2822.23,1459.51,834.0,976.68,-142.68
2007-10-09,4384.91,2968.19,1416.72,1216.27,1745.65,-529.38
2007-10-10,5817.2,4354.91,1462.29,1444.55,2141.37,-696.82
2007-10-11,5961.99,5167.21,794.78,1383.12,1803.23,-420.11
2007-10-12,5260.25,4944.89,315.36,1242.36,2126.04,-883.68
2007-11-01,5389.86,5315.61,74.25,1929.4,1873.18,56.22
2007-11-02,3281.13,4511.99,-1230.86,1324.79,880.05,444.74
2007-11-05,3851.03,4944.19,-1093.16,1679.43,1030.74,648.69
2007-11-06,4163.08,4155.46,7.62,1297.81,1091.25,206.56
2007-11-07,4197.83,3766.42,431.41,1103.07,1007.75,95.32
2007-11-08,3190.15,4546.68,-1356.53,1223.6,940.28,283.32
2007-11-09,129.47,94.48,34.99,21.6,22.13,-0.53
2007-11-12,4487.18,5681.56,-1194.38,1209.86,1143.87,65.99
2007-12-03,5487.35,5526.6,-39.25,1440.0,990.49,449.51
2007-12-04,3877.76,4210.62,-332.86,1383.44,1267.13,116.31
2007-12-05,5168.38,4688.2,480.18,1454.28,1613.99,-159.71
2007-12-06,4855.4,4363.3,492.1,1649.03,1421.49,227.54
2007-12-07,4426.24,4680.08,-253.84,1478.72,1139.08,339.64
2007-12-10,2811.06,3003.18,-192.12,1180.94,1411.09,-230.15
2007-12-11,4049.74,3662.47,387.27,1593.63,1252.32,341.31
2007-12-12,4575.06,4960.26,-385.2,1727.43,1611.6,115.83
2008-01-01,888.69,1350.1,-461.41,1284.38,977.44,306.94
2008-01-02,3798.13,4426.81,-628.68,1610.49,1183.38,427.11
2008-01-03,5409.98,5654.54,-244.56,2024.5,1497.85,526.65
2008-01-04,4542.3,4526.29,16.01,1952.45,1445.6,506.85
2008-01-07,3932.09,5475.53,-1543.44,1806.64,1479.0,327.64
2008-01-08,5352.37,4781.72,570.65,1630.66,1538.58,92.08
2008-01-09,4465.9,4857.93,-392.03,1206.0,1120.49,85.51
2008-01-10,4104.09,4357.43,-253.34,1751.98,1363.25,388.73
2008-01-11,3807.29,3699.89,107.4,1298.51,1296.59,1.92
2008-02-01,3469.19,3596.12,-126.93,1220.8,1336.2,-115.4
2008-02-04,3341.15,3177.41,163.74,1644.83,913.0,731.83
2008-02-05,2798.8,2487.02,311.78,829.99,965.15,-135.16
2008-02-06,2252.16,2738.1,-485.94,1368.0,1010.68,357.32
2008-02-07,2141.67,3002.02,-860.35,994.01,763.31,230.7
2008-02-08,2687.06,3484.31,-797.25,1106.6,913.62,192.98
2008-02-11,5248.04,6516.71,-1268.67,1350.58,1372.85,-22.27
2008-02-12,3161.79,3659.85,-498.06,1202.97,851.81,351.16
2008-03-03,3416.87,4128.18,-711.31,1283.3,1202.83,80.47
2008-03-04,3553.38,4065.71,-512.33,1145.71,975.48,170.23
2008-03-05,2790.24,3075.27,-285.03,1043.63,1175.31,-131.68
2008-03-07,4879.81,4366.77,513.04,1293.36,1360.15,-66.79
2008-03-10,4333.84,5581.88,-1248.04,1878.29,1119.5,758.79
2008-03-11,4541.54,5080.78,-539.24,1433.67,1130.31,303.36
2008-03-12,3962.67,3834.73,127.94,752.32,1280.38,-528.06
2008-04-01,2609.05,3247.91,-638.86,715.07,1004.63,-289.56
2008-04-02,2792.79,2928.44,-135.65,1097.88,833.51,264.37
2008-04-03,2717.21,3110.62,-393.41,1122.23,856.84,265.39
2008-04-04,2827.05,3675.62,-848.57,1375.67,795.83,579.84
2008-04-07,3166.17,2820.13,346.04,906.1,660.17,245.93
2008-04-08,2611.91,2604.64,7.27,1087.03,639.24,447.79
2008-04-09,2039.54,2346.81,-307.27,1049.51,573.7,475.81
2008-04-10,2532.8,2995.14,-462.34,1286.24,691.76,594.48
2008-04-11,2606.18,2779.18,-173.0,1067.31,741.27,326.04
2008-05-02,3662.69,3004.35,658.34,1128.9,1146.9,-18.0
2008-05-05,2763.17,2999.98,-236.81,1201.17,744.01,457.16
2008-05-06,3079.65,3895.26,-815.61,1177.86,882.51,295.35
2008-05-07,3387.92,3299.62,88.3,1039.31,804.48,234.83
2008-05-08,2529.43,3253.92,-724.49,1344.41,734.9,609.51
2008-05-09,3304.2,3923.54,-619.34,1261.4,1081.24,180.16
2008-05-12,2322.01,2532.58,-210.57,909.89,668.88,241.01
2008-06-02,2497.04,2846.88,-349.84,699.85,690.04,9.81
2008-06-03,2900.14,3920.84,-1020.7,980.14,717.65,262.49
2008-06-04,3035.54,4234.34,-1198.8,1221.85,802.04,419.81
2008-06-05,3803.35,5221.69,-1418.34,1506.98,936.95,570.03
2008-06-06,2760.42,2683.77,76.65,1089.55,689.4,400.15
2008-06-09,2546.86,3891.53,-1344.67,1842.1,811.84,1030.26
2008-06-10,3310.16,4220.32,-910.16,1473.2,1176.81,296.39
2008-06-11,3768.09,3985.36,-217.27,1158.45,611.98,546.47
2008-06-12,3164.42,4375.62,-1211.2,1135.43,634.99,500.44
2008-07-01,3117.64,2908.21,209.43,785.18,622.68,162.5
2008-07-02,3666.14,4334.57,-668.43,1029.32,608.31,421.01
2008-07-03,3090.22,3697.14,-606.92,1116.88,590.78,526.1
2008-07-04,2913.7,2541.35,372.35,685.58,782.6,-97.02
2008-07-07,1668.6,2108.17,-439.57,743.71,667.81,75.9
2008-07-08,1873.67,2199.94,-326.27,863.73,436.46,427.27
2008-07-09,2501.15,2936.69,-435.54,825.04,685.82,139.22
2008-07-10,1896.89,2448.56,-551.67,562.1,674.56,-112.46
2008-07-11,2253.62,2721.29,-467.67,933.74,719.0,214.74
2008-08-01,2686.71,3273.99,-587.28,1301.98,905.64,396.34
2008-08-04,1808.44,2316.25,-507.81,826.93,873.9,-46.97
2008-08-05,4202.83,4600.5,-397.67,1342.35,1054.95,287.4
2008-08-06,4925.61,3109.87,1815.74,1118.92,1923.28,-804.36
2008-08-07,2338.41,2561.6,-223.19,735.76,711.66,24.1
2008-08-08,1947.8,2090.02,-142.22,846.77,830.48,16.29
2008-08-11,2930.77,2650.16,280.61,1162.37,657.07,505.3
2008-08-12,2445.6,3132.79,-687.19,1151.5,1159.15,-7.65
2008-09-01,1299.92,1541.77,-241.85,532.82,450.2,82.62
2008-09-02,2799.13,1666.88,1132.25,1350.5,1140.71,209.79
2008-09-04,2604.19,3207.47,-603.28,1043.16,612.05,431.11
2008-09-05,1620.66,3477.66,-1857.0,1271.8,787.03,484.77
2008-09-08,3155.98,2902.55,253.43,805.68,938.3,-132.62
2008-09-09,1748.71,2140.24,-391.53,774.31,668.04,106.27
